"Date","Price","Open","High","Low","Vol.","Change %"
"27-07-2016","227.78","230.02","230.68","226.85","10.18M","-1.07%"
"26-07-2016","230.24","230.00","232.66","228.25","9.71M","0.13%"
"25-07-2016","229.95","227.98","230.17","226.49","7.61M","0.78%"
"22-07-2016","228.17","226.18","228.84","225.98","6.37M","0.84%"
"21-07-2016","226.26","230.23","230.45","225.96","6.19M","-1.63%"
"20-07-2016","230.00","229.32","231.20","228.55","11.32M","0.51%"
"19-07-2016","228.84","226.18","229.99","223.78","15.37M","1.15%"
"18-07-2016","226.24","231.13","233.55","225.23","29.63M","-0.59%"
"15-07-2016","227.58","226.86","229.56","225.62","12.92M","0.73%"
"14-07-2016","225.94","226.65","228.00","224.44","9.93M","-0.38%"
"13-07-2016","226.80","226.00","228.59","225.77","13.77M","0.53%"
"12-07-2016","225.60","223.77","225.96","222.81","9.02M","1.10%"
"11-07-2016","223.15","222.81","223.70","221.57","7.63M","1.44%"
"08-07-2016","219.98","221.91","222.36","219.52","6.59M","-0.96%"
"07-07-2016","222.11","223.15","224.95","221.72","11.10M","-0.52%"
"05-07-2016","223.28","221.71","225.49","220.40","10.49M","0.65%"
"04-07-2016","221.84","219.33","223.39","219.33","7.20M","1.36%"
"01-07-2016","218.86","218.71","219.62","218.09","6.10M","0.44%"
"30-06-2016","217.90","218.54","219.77","217.43","11.78M","0.23%"
"29-06-2016","217.39","216.29","217.85","215.84","6.94M","0.95%"
"28-06-2016","215.35","215.03","216.19","214.72","7.02M","0.23%"
"27-06-2016","214.86","211.46","215.48","211.46","8.46M","0.44%"
"24-06-2016","213.92","216.94","216.94","209.86","23.06M","-2.96%"
"23-06-2016","220.44","220.33","220.79","218.09","9.08M","0.00%"
"22-06-2016","220.45","221.46","221.66","219.68","11.80M","-0.67%"
"21-06-2016","221.93","223.51","223.52","220.27","12.86M","-0.31%"
"20-06-2016","222.63","218.57","223.17","217.64","9.93M","1.57%"
"17-06-2016","219.19","219.66","220.03","218.11","9.72M","-0.14%"
"16-06-2016","219.50","220.56","221.16","217.43","8.65M","-0.84%"
"15-06-2016","221.37","220.34","221.80","218.93","10.27M","0.86%"
"14-06-2016","219.49","220.55","221.55","217.93","10.08M","-0.49%"
"13-06-2016","220.58","218.07","221.11","216.53","9.43M","0.45%"
"10-06-2016","219.59","218.99","221.33","217.71","15.06M","0.57%"
"09-06-2016","218.35","215.84","219.54","214.99","14.44M","1.79%"
"08-06-2016","214.51","215.39","215.39","213.40","11.20M","-0.10%"
"07-06-2016","214.73","215.22","216.05","213.95","17.49M","0.03%"
"06-06-2016","214.67","216.07","216.51","214.17","8.01M","-0.51%"
"03-06-2016","215.76","215.84","216.49","214.91","7.98M","0.35%"
"02-06-2016","215.00","214.60","215.20","212.49","9.46M","0.28%"
"01-06-2016","214.40","215.38","217.21","214.00","8.35M","-0.45%"
"31-05-2016","215.36","217.86","218.76","215.05","21.54M","-1.12%"
"30-05-2016","217.80","219.53","220.67","216.96","8.89M","-0.62%"
"27-05-2016","219.15","213.38","219.64","213.31","12.37M","2.95%"
"26-05-2016","212.88","213.59","214.13","212.27","13.10M","-0.46%"
"25-05-2016","213.86","213.56","214.22","211.60","8.53M","1.14%"
"24-05-2016","211.44","208.66","212.24","208.66","11.34M","1.12%"
"23-05-2016","209.10","210.75","211.50","208.12","16.95M","-0.45%"
"20-05-2016","210.04","214.04","214.60","209.40","17.12M","-1.79%"
"19-05-2016","213.86","218.47","218.52","212.60","8.43M","-1.99%"
"18-05-2016","218.21","217.17","218.65","216.76","7.60M","0.14%"
"17-05-2016","217.90","220.39","221.03","217.27","11.22M","-0.70%"
"16-05-2016","219.43","219.66","220.90","218.34","8.61M","-0.22%"
"13-05-2016","219.92","222.35","222.71","219.21","13.52M","-1.47%"
"12-05-2016","223.21","219.44","223.53","219.22","11.80M","1.78%"
"11-05-2016","219.30","218.49","220.51","218.09","11.39M","-0.73%"
"10-05-2016","220.91","221.03","221.39","219.89","6.69M","-0.05%"
"09-05-2016","221.03","219.21","221.69","218.72","14.17M","1.46%"
"06-05-2016","217.85","218.76","219.62","217.41","13.61M","-0.65%"
"05-05-2016","219.27","220.34","221.11","218.29","20.00M","-0.29%"
"04-05-2016","219.91","219.00","221.17","218.76","12.50M","0.24%"
"03-05-2016","219.39","222.14","223.70","218.71","16.22M","-1.13%"
"02-05-2016","221.90","220.11","223.12","219.89","9.80M","0.43%"
"29-04-2016","220.94","223.36","224.51","220.08","21.67M","-1.41%"
"28-04-2016","224.09","227.98","229.15","222.80","57.18M","-2.23%"
