Price,Open,High,Low,Vol.,Change %,Target
226.0,223.93,226.31,223.62,6210000.0,1.14,0
224.64,225.73,226.54,224.01,4550000.0,-0.6,1
229.34,225.97,229.73,225.81,8080000.0,2.09,1
231.34,229.78,231.99,229.4,7600000.0,0.87,0
230.95,229.44,234.21,229.44,8330000.0,-0.17,1
233.78,231.13,234.05,231.03,9570000.0,1.23,1
238.21,233.78,239.32,233.42,22280000.0,1.89,0
236.74,236.61,240.03,235.77,17840000.0,-0.62,1
237.68,236.52,238.77,236.52,13790000.0,0.4,1
238.9,237.2,239.89,237.05,13850000.0,0.51,0
237.85,237.13,238.55,236.78,10790000.0,-0.44,1
239.05,238.35,239.96,237.69,18800000.0,0.5,0
236.83,237.87,238.92,236.29,26670000.0,-0.93,1
237.72,236.52,240.34,236.52,9470000.0,0.38,0
235.5,237.05,239.67,234.87,14140000.0,-0.93,1
239.38,235.59,239.92,235.4,16100000.000000002,1.65,0
236.01,240.1,240.47,235.42,8900000.0,-1.41,1
239.55,236.08,240.3,235.96,8100000.0,1.5,1
243.36,239.4,243.94,239.02,14500000.0,1.59,1
243.97,243.72,245.07,241.1,6550000.0,0.25,1
